City,Time,Temperature,Condition
Bangkok,2025-05-10 22:00:00,24.44,light rain
Bangkok,2025-05-11 01:00:00,25.35,light rain
Bangkok,2025-05-11 04:00:00,26.78,overcast clouds
Bangkok,2025-05-11 07:00:00,26.25,overcast clouds
Bangkok,2025-05-11 10:00:00,30.88,overcast clouds
Bangkok,2025-05-11 13:00:00,32.98,light rain
Bangkok,2025-05-11 16:00:00,29.42,moderate rain
Bangkok,2025-05-11 19:00:00,28.79,light rain
Bangkok,2025-05-11 22:00:00,28.5,light rain
Bangkok,2025-05-12 01:00:00,27.47,moderate rain
Bangkok,2025-05-12 04:00:00,26.38,light rain
Bangkok,2025-05-12 07:00:00,26.53,light rain
Bangkok,2025-05-12 10:00:00,30.58,overcast clouds
Bangkok,2025-05-12 13:00:00,33.19,light rain
Bangkok,2025-05-12 16:00:00,31.14,light rain
Bangkok,2025-05-12 19:00:00,29.57,overcast clouds
Bangkok,2025-05-12 22:00:00,28.76,overcast clouds
Bangkok,2025-05-13 01:00:00,28.41,light rain
Bangkok,2025-05-13 04:00:00,28.07,light rain
Bangkok,2025-05-13 07:00:00,27.47,light rain
Bangkok,2025-05-13 10:00:00,27.93,moderate rain
Bangkok,2025-05-13 13:00:00,30.37,light rain
Bangkok,2025-05-13 16:00:00,29.12,overcast clouds
Bangkok,2025-05-13 19:00:00,28.42,light rain
Bangkok,2025-05-13 22:00:00,27.27,light rain
Bangkok,2025-05-14 01:00:00,27.38,overcast clouds
Bangkok,2025-05-14 04:00:00,27.41,light rain
Bangkok,2025-05-14 07:00:00,27.17,moderate rain
Bangkok,2025-05-14 10:00:00,26.61,moderate rain
Bangkok,2025-05-14 13:00:00,27.19,light rain
Bangkok,2025-05-14 16:00:00,27.48,light rain
Bangkok,2025-05-14 19:00:00,27.07,overcast clouds
Bangkok,2025-05-14 22:00:00,27.05,overcast clouds
Bangkok,2025-05-15 01:00:00,26.6,light rain
Bangkok,2025-05-15 04:00:00,25.61,moderate rain
Bangkok,2025-05-15 07:00:00,25.81,light rain
Bangkok,2025-05-15 10:00:00,25.77,light rain
Bangkok,2025-05-15 13:00:00,26.34,light rain
Bangkok,2025-05-15 16:00:00,25.92,light rain
Bangkok,2025-05-15 19:00:00,25.66,light rain
